,siren,division,categorieEntreprise,dateCreationUniteLegale,annee,CIR,nb_brevets,Id_ETI,annee_creation
89,408629343,25,ETI,1996-07-15,2016,40749.0,0.0,1,1996
90,408709897,25,ETI,1996-08-27,2016,0.0,0.0,1,1996
91,408720282,32,ETI,1996-09-01,2016,3883276.0,23.0,1,1996
92,408832301,62,ETI,1996-10-01,2016,0.0,0.0,1,1996
93,408888659,71,GE,1996-08-10,2016,0.0,0.0,0,1996
94,409122967,71,GE,1996-09-19,2016,0.0,0.0,0,1996
95,409166840,25,ETI,1996-09-25,2016,0.0,1.0,1,1996
96,409214244,62,GE,1996-09-01,2016,0.0,0.0,0,1996
97,409463866,96,GE,1996-10-15,2016,0.0,0.0,0,1996
98,409491685,20,GE,1996-10-09,2016,140000.0,0.0,0,1996
99,409514692,29,GE,1996-10-01,2016,0.0,0.0,0,1996
100,409578192,71,GE,1996-10-11,2016,0.0,0.0,0,1996
101,409612785,32,ETI,1996-11-02,2016,0.0,2.0,1,1996
102,409706520,71,GE,1996-07-01,2016,0.0,0.0,0,1996
103,409714623,62,ETI,1996-11-07,2016,0.0,0.0,1,1996
104,409722956,29,ETI,1996-10-31,2016,812922.0,5.0,1,1996
105,409734340,22,ETI,1996-10-14,2016,0.0,0.0,1,1996
106,409767720,20,GE,1996-11-06,2016,0.0,0.0,0,1996
107,409768520,72,GE,1996-11-08,2016,28300000.0,3.0,0,1996
108,409775202,71,ETI,1996-10-15,2016,0.0,0.0,1,1996
109,409783438,20,ETI,1996-10-11,2016,0.0,0.0,1,1996
110,409886496,71,ETI,1996-11-12,2016,237000.0,1.0,1,1996
111,409900149,96,GE,1996-12-01,2016,0.0,0.0,0,1996
112,409913027,22,ETI,1996-11-25,2016,0.0,0.0,1,1996
113,409982709,71,ETI,1996-11-22,2016,0.0,0.0,1,1996
114,409984226,71,GE,1996-10-25,2016,0.0,0.0,0,1996
115,410072110,71,ETI,1996-12-02,2016,0.0,0.0,1,1996
116,410079065,71,GE,1996-11-01,2016,0.0,0.0,0,1996
117,410081640,22,ETI,1996-12-02,2016,0.0,0.0,1,1996
118,410087159,62,ETI,1996-11-14,2016,77158.0,0.0,1,1996
119,410109698,71,ETI,1996-11-26,2016,0.0,1.0,1,1996
120,410129894,71,ETI,1997-01-01,2016,0.0,0.0,1,1997
121,410140057,20,ETI,1996-12-09,2016,808399.0,0.0,1,1996
122,410206270,29,GE,1996-12-13,2016,99517.694,0.0,0,1996
123,410206361,71,GE,1996-12-13,2016,21929257.0,0.0,0,1996
124,410219042,20,ETI,1996-12-02,2016,352000.0,0.0,1,1996
125,410231120,71,ETI,1996-10-31,2016,0.0,0.0,1,1996
126,410268767,22,ETI,1996-12-16,2016,0.0,4.0,1,1996
127,410295711,62,ETI,1996-12-20,2016,182803.0,0.0,1,1996
128,410327910,71,GE,1996-09-01,2016,0.0,0.0,0,1996
129,410352777,21,GE,1996-12-20,2016,0.0,0.0,0,1996
130,410354930,29,ETI,1997-10-27,2016,128400.0,0.0,1,1997
131,410355028,29,ETI,1996-12-23,2016,0.0,0.0,1,1996
132,410383533,95,ETI,1996-12-24,2016,1095650.0,0.0,1,1996
133,410458624,26,ETI,1996-12-20,2016,1379000.0,0.0,1,1996
134,410459887,25,ETI,1996-12-13,2016,0.0,0.0,1,1996
135,410577100,71,ETI,1997-01-01,2016,95700.0,0.0,1,1997
136,410590962,30,ETI,1997-01-01,2016,0.0,0.0,1,1997
137,410761688,71,ETI,1997-01-08,2016,0.0,0.0,1,1997
138,410790448,71,ETI,1997-01-14,2016,0.0,0.0,1,1997
139,410824585,20,ETI,1997-02-04,2016,112714.0,0.0,1,1997
140,410870083,29,ETI,1997-01-01,2016,0.0,0.0,1,1997
141,410955983,71,GE,1997-02-10,2016,0.0,0.0,0,1997
142,411018781,71,ETI,1997-01-20,2016,93643.0,2.0,1,1997
143,411120207,96,ETI,1997-01-01,2016,0.0,0.0,1,1997
144,411195043,26,GE,1997-03-01,2016,0.0,2.0,0,1997
145,411200165,21,ETI,1997-02-14,2016,0.0,0.0,1,1997
146,411551633,71,ETI,1997-03-20,2016,0.0,0.0,1,1997
147,411589070,32,ETI,1997-03-17,2016,0.0,0.0,1,1997
148,411746977,29,ETI,1997-04-11,2016,121178.0,0.0,1,1997
149,411887011,25,ETI,1997-04-24,2016,0.0,0.0,1,1997
150,412140907,25,ETI,1997-05-15,2016,2958000.0,0.0,1,1997
151,412162448,26,ETI,1997-04-01,2016,206807.0,0.0,1,1997
152,412378895,95,ETI,1997-05-20,2016,0.0,0.0,1,1997
153,412442519,71,ETI,1997-06-05,2016,0.0,0.0,1,1997
154,412552960,25,ETI,1997-06-12,2016,30161.0,0.0,1,1997
155,412827321,32,ETI,1997-06-01,2016,22076.0,0.0,1,1997
156,412860702,71,GE,1997-06-25,2016,0.0,0.0,0,1997
157,412908980,96,GE,1997-06-24,2016,0.0,0.0,0,1997
158,413101908,25,ETI,1997-08-01,2016,0.0,1.0,1,1997
159,413109810,71,GE,1997-07-04,2016,0.0,0.0,0,1997
160,413214164,29,GE,1997-09-01,2016,0.0,0.0,0,1997
161,413385527,72,GE,1997-06-09,2016,0.0,0.0,0,1997
162,413446071,71,GE,1997-07-03,2016,0.0,0.0,0,1997
163,413465055,25,ETI,1997-08-13,2016,0.0,0.0,1,1997
164,413581034,20,ETI,1997-08-28,2016,603278.0,0.0,1,1997
165,413902214,22,ETI,1997-09-17,2016,0.0,0.0,1,1997
166,413926320,71,ETI,1997-09-09,2016,0.0,0.0,1,1997
167,414289041,25,ETI,1997-10-14,2016,72166.0,0.0,1,1997
168,414353250,62,ETI,1997-09-19,2016,401779.0,0.0,1,1997
169,414392985,62,ETI,1997-11-10,2016,0.0,0.0,1,1997
170,414393694,71,ETI,1997-11-01,2016,0.0,0.0,1,1997
171,414442558,29,ETI,1997-11-12,2016,0.0,0.0,1,1997
172,414448464,32,ETI,1997-11-17,2016,0.0,3.0,1,1997
173,414573964,20,ETI,1997-11-24,2016,0.0,0.0,1,1997
174,414574053,20,GE,1997-11-24,2016,1071294.0,0.0,0,1997
175,414668194,29,GE,1997-12-01,2016,226000.0,0.0,0,1997
176,414713768,29,GE,1997-12-05,2016,0.0,0.0,0,1997
177,414728964,71,ETI,1997-12-09,2016,95598.0,0.0,1,1997
178,414789016,20,ETI,1997-12-15,2016,76937.0,0.0,1,1997
179,414804161,62,GE,1997-11-21,2016,0.0,0.0,0,1997
180,414815217,30,GE,1997-12-01,2016,0.0,419.0,0,1997
181,414917856,20,GE,1997-12-19,2016,0.0,0.0,0,1997
182,414965053,62,GE,1997-12-18,2016,0.0,0.0,0,1997
183,414969584,26,GE,1997-12-29,2016,15037000.0,93.0,0,1997
184,414984963,62,GE,1997-12-17,2016,0.0,0.0,0,1997
185,415066117,20,ETI,1997-09-01,2016,138211.0,0.0,1,1997
186,415110808,71,GE,1998-01-13,2016,0.0,0.0,0,1998
187,415119239,20,ETI,1998-01-01,2016,388278.0,2.0,1,1998
188,415238179,71,GE,1998-01-02,2016,7189.0,0.0,0,1998
189,415395896,71,ETI,1998-01-01,2016,0.0,0.0,1,1998
190,415550110,25,ETI,1955-01-01,2016,0.0,0.0,1,1955
191,415550227,20,ETI,1955-01-01,2016,289820.0,0.0,1,1955
192,415550284,20,ETI,1955-01-01,2016,2548000.0,4.0,1,1955
193,415720051,25,ETI,1957-01-01,2016,0.0,0.0,1,1957
194,415750660,20,ETI,1957-01-01,2016,1079000.0,1.0,1,1957
195,416350239,20,ETI,1963-01-01,2016,0.0,0.0,1,1963
196,417350311,21,ETI,1984-04-01,2016,6220000.0,10.0,1,1984
197,417350386,21,ETI,1982-09-06,2016,0.0,0.0,1,1982
198,417534401,71,ETI,1998-01-09,2016,112058.0,0.0,1,1998
199,417736311,62,ETI,1998-02-05,2016,0.0,0.0,1,1998
200,417817392,62,ETI,1998-01-01,2016,0.0,0.0,1,1998
201,418108569,25,ETI,1998-03-19,2016,0.0,0.0,1,1998
202,418143624,22,ETI,1998-03-18,2016,0.0,0.0,1,1998
203,418165460,72,ETI,1998-03-01,2016,0.0,1.0,1,1998
204,418166096,62,GE,1998-04-01,2016,1049000.0,0.0,0,1998
205,418204517,71,GE,1998-02-23,2016,0.0,0.0,0,1998
206,418215075,20,ETI,1998-03-25,2016,0.0,0.0,1,1998
207,418245262,22,ETI,1998-04-01,2016,0.0,0.0,1,1998
208,418397055,32,ETI,1998-03-16,2016,158015.0,3.0,1,1998
209,418425716,20,ETI,1998-02-27,2016,172219.0,0.0,1,1998
210,418562872,62,ETI,1998-05-02,2016,0.0,0.0,1,1998
211,418661039,21,GE,1998-05-05,2016,0.0,0.0,0,1998
212,418661047,62,ETI,1998-07-01,2016,0.0,0.0,1,1998
213,418782025,96,ETI,1998-05-11,2016,59000.0,0.0,1,1998
214,418827655,62,ETI,1998-05-15,2016,1229668.0,0.0,1,1998
215,418847463,71,GE,1998-04-20,2016,17329.0,0.0,0,1998
216,418929725,26,ETI,1998-06-01,2016,4198000.0,4.0,1,1998
217,419031844,25,ETI,1998-03-02,2016,0.0,0.0,1,1998
218,419070180,71,GE,1998-06-01,2016,0.0,0.0,0,1998
219,419222245,20,ETI,1998-06-05,2016,0.0,0.0,1,1998
220,419296090,62,GE,1998-06-19,2016,210121.0,0.0,0,1998
221,419346135,62,ETI,1998-07-01,2016,0.0,0.0,1,1998
222,419372636,71,ETI,1998-05-29,2016,0.0,0.0,1,1998
223,419476593,62,GE,1998-07-20,2016,824000.0,0.0,0,1998
224,419490099,72,ETI,1998-07-01,2016,5463450.0,0.0,1,1998
225,419566450,62,GE,1998-07-01,2016,0.0,0.0,0,1998
226,419607395,25,ETI,1998-07-15,2016,0.0,0.0,1,1998
227,419623152,62,ETI,1998-07-01,2016,0.0,0.0,1,1998
228,419646096,22,ETI,1998-07-22,2016,0.0,0.0,1,1998
229,419658786,21,ETI,1998-07-01,2016,0.0,0.0,1,1998
230,419694369,29,GE,1998-07-06,2016,0.0,0.0,0,1998
231,419845342,26,ETI,1998-08-04,2016,0.0,0.0,1,1998
232,419875786,21,ETI,1998-07-24,2016,0.0,0.0,1,1998
233,419980859,25,ETI,1998-09-01,2016,0.0,0.0,1,1998
