siren,2016_CIR,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR
501847313,,349608.0,442981.0,433125.0,304942.0,139069.0,128347.0,35640.0
501914352,0.0,60874,0.0,13044.0,9285.0,9285.0,0,
501941389,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
501949085,0.0,,24870.0,0.0,3570,6745.0,6895.0,4783.0
501966543,979000.0,1070000,1190000.0,4470000.0,1776000.0,5256000.0,0,
501967822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501978555,0.0,0,0.0,0.0,0.0,,,
501997837,0.0,0,0.0,0.0,0.0,0.0,0,
502009061,0.0,0.0,0,0.0,0,0.0,1251573.0,0.0
502054984,,0,0.0,0.0,0.0,0.0,0,0.0
502058944,0.0,0.0,36000.0,0.0,0.0,0,,0.0
502080104,0,0.0,0.0,0.0,14000.0,31352.0,0.0,0.0
502100761,0.0,0.0,0,0.0,,,,
502154537,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
502162571,,0.0,0.0,,,,,
502183965,,,,0.0,0,,,
502191844,0.0,0.0,,,,,,
502222730,0.0,0.0,0.0,0.0,0.0,0,0.0,
502256456,,,0.0,0.0,0.0,0,0.0,
502256811,21559670.0,2351000.0,0.0,123724.0,0,0.0,0.0,
502314800,0.0,,0.0,210.0,0.0,3134.0,2339,
502318090,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502367527,,0.0,0,0.0,0,0.0,0.0,0.0
502436223,,,,,,0.0,0.0,
502454044,,0,0.0,0.0,0.0,0.0,0.0,0.0
502474042,0,,,,,,,
502547292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502615982,,0.0,0.0,0.0,0,0.0,0.0,0.0
502628720,,568000,,,,292000.0,0,0.0
502674716,,,,0.0,0.0,,0,
502702285,0,0.0,0.0,0.0,0.0,0.0,0.0,
502758014,0.0,0.0,0,0.0,0,0.0,,
502787583,0.0,,,0.0,0.0,0.0,0,0.0
502863681,0.0,0,0.0,0.0,0.0,0.0,0,0.0
502878382,0,0.0,0.0,0.0,0.0,0.0,0.0,
502901044,480000.0,705000.0,811000.0,907000.0,895000,879177.0,533139.0,520601.0
502958598,0.0,415835.0,308104.0,702076.0,204972.0,251469.0,275445.0,
502981038,0.0,0.0,0,692735.0,0,0.0,1254628.0,0.0
503009854,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
503010464,,0,,,,0.0,0.0,0.0
503050957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503103988,,,,,,,0.0,
503116824,0.0,0.0,0,0.0,0,0.0,0.0,0.0
503117251,0.0,,,,0.0,0.0,0.0,0.0
503122285,,,,,0,0.0,0.0,0.0
503127250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503235400,,,,0.0,0.0,0.0,0.0,0.0
503258907,22912,0.0,132602.0,81144.0,128790.0,36209.0,14351.0,
503271926,,0.0,0.0,0.0,6000,12000.0,60000.0,84000.0
503300733,,,,0.0,0.0,0.0,,
503310153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503321283,0.0,0.0,0.0,0.0,,,0.0,0.0
503379109,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
503450462,0.0,0,0.0,0.0,0.0,0.0,225123,
503511081,0.0,0.0,,0.0,,,,
503584823,,,,0.0,0.0,0.0,0.0,0.0
503596777,,,,,,,0.0,0.0
503616666,11147.0,0,0.0,0.0,0.0,0.0,0,
503645459,,,0.0,0.0,,0.0,,0.0
503645665,0,0.0,0.0,0.0,0.0,0.0,553902.0,0.0
503653818,0.0,0.0,0.0,0.0,0,0.0,108429.0,85313.0
503675928,,0,0.0,0.0,0.0,0.0,0,0.0
503676850,0.0,0.0,0.0,0.0,,,,
503731457,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
503734600,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
503753170,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
503775660,0.0,0,0.0,0.0,7302.0,0.0,,
503812208,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
503824179,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
503882151,0.0,0.0,0,0.0,,,0.0,0.0
503905028,0.0,0,0.0,0.0,,,,
503936486,0.0,0.0,,0.0,,0.0,0.0,0.0
504041278,0.0,0.0,0.0,0.0,0.0,0,,
504057233,,0.0,,,,,0.0,
504124603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504143496,,0,0.0,0.0,0.0,0.0,0.0,0.0
504226614,,,2036146.0,,,3153536,,
504313891,174695.0,1615462.0,109943.0,209195.0,202339.0,293924,450465.0,386511.0
504316597,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504409699,21543.0,,0.0,0.0,0,0.0,0.0,0.0
504443581,,0.0,0.0,0.0,0.0,0,0.0,157914.0
504451139,,,,0.0,,0.0,,
504457789,,,,0.0,,0.0,,
504457821,,,,0.0,,0.0,,
504538745,14282223.0,0,0.0,22973769.0,20308258.0,22597267.0,27457643,28986216.0
