siren,2017_CIR,2018_CIR,2019_CIR,2020_CIR,2021_CIR,2022_CIR,2023_CIR,2016_CIR
304515562,0.0,0.0,13234.0,0.0,0.0,0.0,,35791.0
304578438,61000.0,255000.0,92000.0,,,,,410000.0
304613912,0.0,0.0,0.0,0.0,,1219124.0,,0.0
304624224,0.0,,,,,40160.0,0.0,0.0
304646458,295507.0,224398.0,0.0,,,,,241750.0
304668502,0.0,,,,1384358.0,,,79000.0
304688179,,,0.0,,0.0,0.0,,
304838352,26282000.0,11751000.0,2947000.0,0.0,0.0,0.0,,50900000.0
304849094,9739588.0,78067.0,44568.0,112594.0,152287.0,141921.0,131821.0,3228087.0
304850795,0.0,0.0,,,,0.0,,0.0
304925159,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
305063588,,,,,,,0.0,
305065088,0.0,0.0,0.0,956717.0,0.0,,,306513.0
305065658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
305151771,,100061.0,0.0,110253.0,,,,114805.0
305163040,0.0,0.0,,,2875660.0,,,0.0
305241457,0.0,0.0,,,,0.0,,0.0
305254526,1251000.0,,,,,802000.0,,0.0
305394496,0.0,0.0,0.0,,,,0.0,0.0
305461063,48188.0,44077.0,67017.0,,,195709.0,80151.0,55281.0
305506412,15542.0,26370.0,,,,,,0.0
305522823,,46947.0,0.0,0.0,0.0,0.0,0.0,
305546616,0.0,0.0,0.0,,0.0,,,0.0
305662504,27708.07,0.0,0.0,0.0,0.0,0.0,0.0,25655.69
305751034,0.0,0.0,0.0,0.0,,,,0.0
305822488,,0.0,2485.0,0.0,0.0,3905.0,,0.0
305823296,1380000.0,0.0,1367000.0,1248000.0,1205000.0,1117000.0,,
305824476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305900219,67000.0,24000.0,53000.0,0.0,0.0,0.0,3260.0,49000.0
306062944,0.0,0.0,0.0,,,,,0.0
306064312,299708.0,,0.0,22564.0,,,0.0,0.0
306100421,0.0,14657.0,50449.0,,55299.0,109496.0,68936.0,0.0
306140807,43175122.0,45869000.0,48783576.0,,,,45006528.0,
306187535,0.0,0.0,0.0,0.0,,0.0,,0.0
306246182,0.0,0.0,0.0,29668.0,44580.0,93850.0,92189.0,0.0
306348632,0.0,119974.0,,,,,,0.0
306522145,0.0,0.0,0.0,0.0,,0.0,,0.0
306678954,0.0,0.0,0.0,,,0.0,,0.0
306841560,0.0,0.0,0.0,0.0,,0.0,,0.0
306926684,0.0,750000.0,0.0,0.0,,0.0,0.0,0.0
306980517,0.0,0.0,0.0,0.0,,,,0.0
307150516,0.0,0.0,0.0,0.0,,0.0,,0.0
307150565,0.0,0.0,0.0,,0.0,0.0,,0.0
307180786,0.0,0.0,0.0,0.0,0.0,,,0.0
307299248,0.0,0.0,,,0.0,,,0.0
307309898,0.0,,,,,,,0.0
307378489,,,,1314000.0,1214000.0,,,
307420380,0.0,,0.0,0.0,0.0,,,
307613935,234471.0,202694.0,0.0,,,,,186761.0
307737304,0.0,0.0,0.0,0.0,0.0,,,0.0
307918128,514760.0,487992.0,0.0,0.0,0.0,0.0,,410995.0
308017847,0.0,0.0,0.0,0.0,0.0,,,0.0
308127687,,,,,,0.0,,0.0
308172626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
308173848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308241470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308428788,,,,0.0,0.0,,,
308491521,,,,,,4712.0,,4363000.0
308528827,,0.0,405330.0,,,538513.0,,346000.0
308531359,0.0,0.0,0.0,,0.0,0.0,,0.0
308575158,0.0,0.0,0.0,,0.0,0.0,,0.0
308884998,,,,,,,,17646000.0
308961911,0.0,0.0,,,,,,
308983428,,,,,0.0,,0.0,
309001352,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
309047454,112086.0,65759.0,,,,0.0,,189886.0
309065084,0.0,0.0,0.0,,,0.0,,84381.0
309103877,718573.0,474117.0,474117.0,368029.0,449762.0,449762.0,,900484.0
309124477,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
309258234,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
309275717,,,0.0,0.0,,0.0,0.0,
309307460,,,,,,0.0,0.0,0.0
309494953,,127000.0,226360.0,192357.0,225133.0,,,
309516730,0.0,0.0,0.0,800000.0,0.0,,0.0,0.0
309540029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
309552040,380409.0,,,,,,,0.0
309600088,0.0,0.0,0.0,0.0,0.0,0.0,29606.0,113634.0
309661692,0.0,0.0,2835.0,2835.0,27835.0,0.0,0.0,
309745891,,,,,,,,0.0
309786481,12334069.0,0.0,4363067.0,4265912.0,,4100372.0,3738273.0,8993035.0
309801058,,,,,,0.0,0.0,
309801140,,,31908.0,,,0.0,,
309825156,,,,176000.0,0.0,,,0.0
309858231,0.0,0.0,,0.0,,,0.0,0.0
309904324,0.0,82683.0,0.0,,,,,
309954006,1010000.0,,,,1385352.0,1578605.0,1978627.0,843000.0
310005392,0.0,0.0,0.0,0.0,0.0,,,0.0
310108212,,,0.0,0.0,0.0,,,
310162839,0.0,,,,,,,
310172440,,0.0,0.0,0.0,0.0,0.0,,
310174503,0.0,11783.0,0.0,,,,,0.0
310188834,0.0,0.0,0.0,0.0,,,733502.0,79016.0
310288220,,,0.0,0.0,0.0,0.0,,
