SIREN;Famille ID;Brevet;Date de Dépôt;Année de Dépôt;2016;2017;2018;2019;2020;2021;2022;2023;2024
006 580 195;9511340.0;FR2768481B1;17/09/1997;1997.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;34954622.0;FR2880543B1;07/01/2005;2005.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;39877894.0;FR2930527B1;24/04/2008;2008.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;39272449.0;FR2909889A1;25/07/2007;2007.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;34954622.0;FR2880543A1;07/01/2005;2005.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;38508845.0;FR2911283B1;12/01/2007;2007.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;38232934.0;FR2909888A1;15/12/2006;2006.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;;DE69407014D1;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;9285776.0;FR2540387A1;09/02/1983;1983.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;38445645.0;EP1956246A2;08/02/2008;2008.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;38445645.0;FR2912316B1;09/02/2007;2007.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;30129570.0;FR2843033A1;31/07/2002;2002.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;9451312.0;FR2710306B1;23/09/1993;1993.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;38232934.0;FR2909888B1;15/12/2006;2006.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;33515438.0;FR2856603A1;26/06/2003;2003.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;9159696.0;FR2323040A1;08/09/1975;1975.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;9451312.0;ES2110199T3;21/09/1994;1994.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
006 580 195;9462121.0;FR2718409B1;11/04/1994;1994.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
