siren,2016_CIR,2020_CIR,2022_CIR,2023_CIR,2019_CIR,2021_CIR,2017_CIR,2018_CIR
6580195,234908.0,364267.0,171917.0,144554.0,,,,
16650590,,177000.0,111000.0,114000.0,185000.0,106000.0,,
16950958,,220183.0,,,57634.0,220390.0,,
17251067,5814000.0,7115000.0,10731000.0,12327000.0,9092000.0,9217000.0,,
25950064,0.0,0.0,0.0,0.0,0.0,0.0,,
35650167,175525.0,270000.08,,,398237.0,300000.0,,
45750601,0.0,0.0,,,0.0,0.0,,
54801725,0.0,0.0,0.0,oui,0.0,0.0,,
55502868,95000.0,59000.0,116000.0,,97000.0,82000.0,,
55804124,82.2,232465.0,0.0,,224463.0,212112.0,82.2,
56501711,0.0,24603452.0,83084724.0,0.0,0.0,oui,,
57500688,0.0,0.0,0.0,,,,0.0,
57506677,377968.0,406953.0,617659.0,,0.0,598154.0,,95116.0
58501107,,0.0,0.0,0.0,0.0,37930792.0,,
58503327,349562.0,502188.0,,,551859.0,508948.0,,
62201009,0.0,268258.0,637184.0,0.0,0.0,0.0,,
62502430,,0.0,0.0,,0.0,0.0,,
63200604,,211689.0,244386.0,216308.0,,196296.0,159530.0,
63501951,0.0,0.0,0.0,0.0,0.0,0.0,,
64200629,0.0,0.0,0.0,1497039.0,0.0,0.0,,
64502693,0.0,0.0,0.0,0.0,0.0,0.0,,
67704650,0.0,0.0,,0.0,0.0,0.0,,
68501055,,37662.0,21623.0,36341.0,0.0,53093.0,0.0,0.0
70200084,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
70200118,0.0,0.0,,,0.0,,,
70501275,539000.0,1139000.0,801000.0,818000.0,996000.0,967000.0,,1072000.0
70803903,35111.0,0.0,0.0,0.0,0.0,0.0,,
71502397,13483512.0,13173249.0,10900000.0,11154028.0,15552056.0,14820409.0,,
71803795,0.0,0.0,0.0,0.0,0.0,0.0,,
72200355,0.0,0.0,0.0,,,0.0,,
72500077,0.0,0.0,,0.0,0.0,0.0,,
72500739,0.0,0.0,,0.0,0.0,0.0,,
73500605,41000.0,35000.0,25000.0,17000.0,,43000.0,31000.0,
73804536,0.0,0.0,0.0,2607.64,0.0,2607.0,,
76120021,197000.0,50000.0,230000.0,0.0,219000.0,47.0,234000.0,219000.0
85480796,6895000.0,6776267.0,6111304.0,5979251.0,7409003.0,759974.0,,
85520195,625148.0,692100.0,1232000.0,0.0,692100.0,998000.0,,
85780534,272884.0,0.0,56406.0,31589.0,482231.0,86274.0,,
85880243,0.0,0.0,86278.0,85883.0,0.0,0.0,,
86150208,79700.0,40526.0,12000.0,753107.403,0.0,0.0,0.0,0.0
86650041,0.0,0.0,93071.0,38973.0,0.0,32012.0,,0.0
95550307,,0.0,0.0,,,0.0,0.0,0.0
95750337,206000.0,61000.0,28595.0,26000.0,105000.0,57000.0,,
97180509,53000.0,0.0,0.0,,612826.98,0.0,,
97180582,56353.0,0.0,,,0.0,0.0,,
97180756,0.0,0.0,0.0,0.0,71962.0,0.0,,
97280234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97280937,0.0,0.0,0.0,0.0,0.0,0.0,,473602.0
