siren,2022_CIR,2023_CIR,2019_CIR,2021_CIR,2018_CIR,2020_CIR,2016_CIR,2017_CIR
808634448,,90122000.0,,,,,8395735.0,
808636955,,,,,0.0,0.0,,
808639801,,,,0.0,,0.0,,
808650501,,,0.0,0.0,,,,
808650576,,,3650480.0,3455549.0,0.0,,,
808654859,,,,,0.0,0.0,,
808656870,0.0,,,,,,,0.0
808719421,0.0,,,,,,,0.0
808781751,0.0,0.0,,,41873.0,,,
808841183,0.0,,,,,,,
808945323,,,,,,,0.0,
808961213,,0.0,,,,,0.0,
809090905,,,263401.0,0.0,,,,
809131527,,,,,,0.0,,
809135999,0.0,,,,,,,
809154859,,0.0,,,,,,0.0
809233885,,0.0,,,,,0.0,
809263726,,,0.0,,,0.0,,
809279441,,0.0,,,,,,
809415243,0.0,0.0,,,,,,0.0
809464860,,0.0,,,,,0.0,
809480122,0.0,0.0,,,,,,
809514318,,,0.0,0.0,0.0,,,
809525579,277714.0,,,,,,,
809528946,,,,,,0.0,,
809632524,,,,0.0,,,,0.0
809675259,,0.0,,,,,0.0,
809675580,,,,,,,0.0,
809676240,,,,,0.0,0.0,,
809759301,,,,,549432.0,0.0,,
809770043,,,,0.0,,,,
809825425,,,0.0,,,,,
809895675,,,,0.0,,,,
809938822,,,0.0,,0.0,0.0,,
809977887,,,0.0,0.0,,,,
809999832,,,,951000.0,792304.0,747000.0,,
810025437,,,,,,0.0,,
810028209,62884.0,,,,,,0.0,
810063602,129249.0,,,,,,,0.0
810091025,0.0,,,,,,,
810127217,,,,0.0,,0.0,,
810156091,,,,,0.0,0.0,,
810183178,,,,,0.0,0.0,,
810317925,,,,,,,0.0,
810424465,450457.0,,,,,,,0.0
810495101,0.0,0.0,,,,,,0.0
810570515,,,,,,,,0.0
810810838,0.0,,,,,,,11638.0
810865196,,,0.0,0.0,,,,
810969683,,,0.0,,,,,
810969691,,,0.0,,,,,
810969816,,,0.0,0.0,0.0,,,
811003474,,,,,,0.0,,
811038116,,,,0.0,,,,
811049667,0.0,0.0,,,,,,0.0
811070630,0.0,,,,,,,0.0
811078377,,,,,,0.0,,
811093871,,,0.0,0.0,0.0,,,
811097302,,,,,0.0,0.0,,
811102292,,0.0,,,,,0.0,
811135326,,,,,0.0,0.0,,
811280536,0.0,,,,,,,
811282052,,,0.0,0.0,0.0,,,
811309673,,,0.0,0.0,,,,
811309723,,0.0,,,,,0.0,
811313162,0.0,,,,,,,0.0
811405372,,0.0,,,,,0.0,0.0
811409945,,,,,,,0.0,0.0
811578848,,,,0.0,0.0,0.0,,
811659135,,,,,0.0,0.0,,
811768100,,0.0,,,,,0.0,
