siren,division,dateCreationUniteLegale,annee,brevets,CIR,idEti
317805323,71,1980,2016,0.0,598552.0,1
318111952,25,1980,2016,0.0,0.0,1
318164837,72,1980,2016,0.0,4926036.0,0
318198777,22,1980,2016,0.0,151311.0,1
318210614,25,1974,2016,0.0,0.0,1
318223658,71,1980,2016,0.0,2044.0,0
318649217,32,1980,2016,0.0,0.0,1
318720653,71,1980,2016,0.0,0.0,0
318732880,62,1980,2016,0.0,2865000.0,0
319137576,20,1980,2016,17.0,8585647.0,0
319159877,26,1980,2016,2.0,9092000.0,0
319242210,71,1960,2016,0.0,0.0,0
319308706,25,1978,2016,0.0,70000.0,1
319380556,25,1980,2016,1.0,11118.0,1
319416756,72,1980,2016,0.0,24462198.0,0
319427399,20,1980,2016,0.0,319990.0,1
319529384,29,1980,2016,0.0,211978.0,1
319537791,95,1980,2016,0.0,147861.0,1
319618393,71,1980,2016,0.0,0.0,0
319632790,20,1980,2016,14.0,110700000.0,0
319640983,20,1980,2016,0.0,315003.0,1
319699815,96,1980,2016,0.0,0.0,1
319806048,20,1980,2016,0.0,0.0,1
319815809,25,1980,2016,0.0,0.0,1
320353576,29,1980,2016,0.0,85531.0,0
320443393,25,1980,2016,0.0,240218.0,1
320460173,20,1980,2016,0.0,222000.0,1
320609175,22,1980,2016,0.0,0.0,1
320663594,20,1981,2016,0.0,0.0,1
321212904,26,1981,2016,0.0,598712.0,1
321276529,25,1981,2016,0.0,0.0,1
321391237,71,1981,2016,0.0,441478.0,1
321735789,71,1981,2016,0.0,0.0,0
321774713,25,1981,2016,0.0,0.0,1
321995367,20,1981,2016,0.0,0.0,1
322067539,22,1981,2016,0.0,0.0,1
322398132,62,1981,2016,0.0,0.0,0
322407693,20,1981,2016,0.0,94969.0,1
322409913,22,1981,2016,0.0,0.0,1
322424136,22,1981,2016,0.0,0.0,1
322498270,71,1981,2016,0.0,0.0,0
322522368,25,1981,2016,0.0,95000.0,1
322537788,25,1981,2016,0.0,0.0,1
322687179,71,1981,2016,0.0,0.0,1
322707159,29,1981,2016,0.0,80000.0,1
322746603,25,1981,2016,0.0,0.0,1
322868910,71,1981,2016,0.0,0.0,1
322928680,22,1981,2016,0.0,0.0,1
322993411,25,1971,2016,0.0,65542.0,1
323025320,20,1981,2016,0.0,16212.0,1
323346973,20,1982,2016,0.0,193111.0,1
323388058,29,1981,2016,0.0,0.0,1
323458745,96,1982,2016,0.0,0.0,1
323459974,26,1981,2016,0.0,2050000.0,0
323592527,32,1982,2016,0.0,26517.0,1
323601088,25,1982,2016,0.0,0.0,1
323782169,22,1977,2016,0.0,396885.0,1
323840645,72,1982,2016,0.0,102700.0,1
323947242,96,1982,2016,0.0,0.0,1
324103829,62,1982,2016,0.0,583795.0,0
324165141,32,1982,2016,0.0,7431.0,1
324214857,96,1982,2016,0.0,0.0,1
324378074,22,1982,2016,0.0,0.0,1
324420785,72,1982,2016,0.0,4744000.0,1
324787571,96,1982,2016,0.0,0.0,1
324845015,20,1982,2016,0.0,0.0,0
324925106,29,1982,2016,0.0,0.0,1
325090728,22,1982,2016,1.0,135000.0,1
325092328,71,1982,2016,0.0,0.0,1
325346435,96,1983,2016,0.0,0.0,1
325820751,32,1958,2016,35.0,1360000.0,1
326134699,71,1983,2016,0.0,135380.0,1
326312964,20,1983,2016,0.0,479491.0,1
326577574,25,1980,2016,0.0,0.0,1
326686979,32,1983,2016,0.0,0.0,1
326699659,22,1983,2016,0.0,0.0,1
326780541,29,1967,2016,0.0,655535.0,1
326890548,22,1983,2016,0.0,0.0,1
326945102,32,1983,2016,0.0,0.0,1
327084778,72,1983,2016,0.0,11205000.0,1
327153722,29,1983,2016,14.0,1385000.0,0
327205373,25,1983,2016,0.0,0.0,1
327336103,22,1983,2016,0.0,0.0,1
327560223,25,1983,2016,0.0,86550.0,1
327852125,25,1983,2016,0.0,0.0,1
327867925,20,1983,2016,0.0,0.0,1
327932034,71,1983,2016,0.0,0.0,1
328031042,26,1983,2016,8.0,0.0,1
