SIREN;Famille ID;Brevet;Date de Dépôt;Année de Dépôt;2016;2017;2018;2019;2020;2021;2022;2023;2024
800 354 144;52988117.0;FR3027180A1;09/10/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 354 144;;SG11202110647QA;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 354 144;74191486.0;WO2022129118A1;15/12/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;67262682.0;US2020351317A1;27/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;;HK40061471A;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 354 144;67262682.0;WO2020193754A1;27/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;69845298.0;WO2021170594A1;23/02/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;67107877.0;EP3942778A1;20/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;;SG11202110485QA;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 354 144;67107877.0;AU2020249319A1;20/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;52988117.0;EP3205067B1;09/10/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 354 144;67107877.0;KR20210139431A;20/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;74141303.0;US2022191260A1;08/07/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;74141303.0;WO2022123066A1;10/12/2021;2021.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
800 354 144;67262682.0;AU2020245087A1;27/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;70482548.0;EP3886451A1;26/03/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 354 144;67262682.0;FR3094597B1;27/03/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 394 926;69375477.0;EP4038482A1;30/09/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 394 926;56855734.0;WO2018011492A1;10/07/2017;2017.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;54783857.0;US2018313933A1;07/10/2016;2016.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;EP3230772B1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52450467.0;US2017351350A1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;CN110998569A;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;US2020116524A1;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589580.0;CN107209278B;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59409533.0;FR3067139A1;31/05/2017;2017.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589580.0;US10095325B2;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589580.0;EP3230771A1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;JP2020524778A;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;56855734.0;US2019301848A1;10/07/2017;2017.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;CN107250955B;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;;HK1258479A;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52450467.0;FR3029656A1;09/12/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;FR3067138A1;31/05/2017;2017.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59409533.0;JP2020527769A;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;CN107250955A;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;56855734.0;FR3054040A1;13/07/2016;2016.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;68987802.0;US2022258039A1;16/07/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 394 926;59409533.0;FR3067139B1;31/05/2017;2017.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;69375477.0;FR3101717A1;04/10/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 394 926;54783857.0;FR3042290B1;09/10/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;68987802.0;FR3098955B1;19/07/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;US11016602B2;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;56855734.0;FR3054040B1;13/07/2016;2016.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;54783857.0;EP3360031B1;07/10/2016;2016.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;WO2016091800A1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589580.0;US2017336885A1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59409533.0;CN111033498A;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;FR3029643A1;09/12/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;68987802.0;WO2021013676A1;16/07/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 394 926;59409533.0;EP3631648A1;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;69375477.0;FR3101717B1;04/10/2019;2019.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;EP3230772A1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;54783857.0;FR3042290A1;09/10/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52450467.0;FR3029656B1;09/12/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;EP3631647A1;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52450467.0;CN107223225A;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;73793373.0;FR3114413A1;21/09/2020;2020.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
800 394 926;52450467.0;WO2016091799A1;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;US11262216B2;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;WO2018219889A1;29/05/2018;2018.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52589581.0;FR3029643B1;09/12/2014;2014.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;59649868.0;FR3067138B1;31/05/2017;2017.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;52450467.0;US10095326B2;07/12/2015;2015.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
800 394 926;54783857.0;EP3360031A1;07/10/2016;2016.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
