,Unnamed: 0,siren,brevets2016,brevets2017,brevets2018,brevets2019,brevets2020,CIR2016,CIR2017,CIR2018,CIR2019,CIR2020,Id_ETI,dateCreationUniteLegale,division
54,54,306841560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1976,29
55,55,306926684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,750000.0,0.0,0.0,1,1976,26
56,56,307150516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1971,25
57,57,307150565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1971,25
58,58,307180786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1976,22
59,59,307299248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1976,71
60,60,307378489,1.0,2.0,2.0,3.0,1.0,1636000.0,1500000.0,1564.0,845.0,1314000.0,1,1976,21
61,61,307613935,0.0,0.0,0.0,0.0,0.0,186761.0,234471.0,202694.0,0.0,0.0,1,1976,25
62,62,307737304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1964,25
63,63,308173848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1976,25
64,64,308241470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1900,32
65,65,308491521,9.0,4.0,1.0,2.0,6.0,4363000.0,6073.0,5912.0,7400000.0,7545.0,1,1968,21
66,66,308531359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1976,22
67,67,308575158,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,25
68,68,309065084,0.0,0.0,0.0,0.0,0.0,84381.0,0.0,0.0,0.0,0.0,1,1977,62
69,69,309103877,0.0,0.0,0.0,0.0,0.0,900484.0,718573.0,474117.0,474117.0,368029.0,0,1977,71
70,70,309516730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,1,1964,25
71,71,309540029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1977,71
72,72,309600088,0.0,0.0,0.0,0.0,0.0,113634.0,0.0,0.0,0.0,0.0,1,1977,71
73,73,309745891,0.0,0.0,0.0,0.0,0.0,0.0,245000.0,0.0,165.0,0.0,1,1984,22
74,74,309786481,34.0,12.0,13.0,9.0,8.0,8993035.0,12334069.0,0.0,4363067.0,4265912.0,1,1980,26
75,75,309801058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,96
76,76,309825156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176000.0,1,1977,25
77,77,309858231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,25
78,78,310174503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11783.0,0.0,0.0,1,1980,25
79,79,310188834,0.0,0.0,0.0,0.0,0.0,79016.0,0.0,0.0,0.0,0.0,1,1977,25
80,80,310369970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48991.0,14700.0,14160.0,1,1977,62
81,81,310602313,0.0,0.0,0.0,0.0,0.0,0.0,223786.0,0.0,912.0,0.0,1,1977,20
82,82,310623269,0.0,0.0,0.0,0.0,0.0,249323.0,250797.0,0.0,0.0,0.0,1,1977,29
83,83,310634696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,22
84,84,310880679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,25
85,85,310939947,0.0,0.0,0.0,0.0,0.0,217750.0,0.0,0.0,0.0,0.0,0,1977,96
86,86,310949623,0.0,0.0,0.0,0.0,0.0,697056.0,741897.0,594304.0,0.0,34220.0,1,1977,22
87,87,310967294,0.0,0.0,2.0,0.0,0.0,332945.0,440017.0,275980.0,959774.0,997055.0,1,1977,26
88,88,310967302,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1977,32
89,89,311210827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304681.0,2387074.0,807685.0,1,1977,22
90,90,311584718,0.0,0.0,0.0,0.0,0.0,38042.0,20434.0,12807.0,12807.0,7324.0,1,1977,25
91,91,311666077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44739.0,0.0,0.0,1,1977,25
92,92,311794499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1900,29
93,93,311916639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,95
94,94,311999833,2.0,1.0,0.0,2.0,1.0,5356000.0,4793000.0,4818000.0,1619000.0,233000.0,1,1978,21
95,95,312261894,0.0,0.0,0.0,0.0,0.0,940000.0,173000.0,795000.0,180000.0,356000.0,1,1978,20
96,96,312285133,0.0,0.0,0.0,0.0,0.0,173738.0,0.0,0.0,0.0,0.0,1,1978,25
97,97,312300205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,25
98,98,312310311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,26
99,99,312330806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,71
100,100,312730906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,25
101,101,312815780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,21
102,102,312857592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,25
103,103,312905342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,71
104,104,313149973,0.0,0.0,0.0,0.0,0.0,356633.0,0.0,0.0,0.0,8325.0,1,1978,71
105,105,313182503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1964,96
106,106,313197030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,71
107,107,313609133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156857.0,600.0,0.0,0,1978,62
108,108,313849788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,96
109,109,314102484,0.0,0.0,0.0,0.0,0.0,0.0,13180.0,0.0,0.0,0.0,1,1978,62
110,110,314119504,0.0,2.0,6.0,5.0,10.0,2172752.0,2462927.0,2119883.0,0.0,47919000.0,0,1978,20
111,111,314258997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1978,25
112,112,314328873,0.0,0.0,0.0,0.0,0.0,145017.0,180093.0,146664.0,0.0,0.0,1,1978,25
113,113,314466277,0.0,0.0,0.0,0.0,0.0,527406.0,0.0,0.0,512868.0,445292.0,1,1978,20
114,114,314722026,199.0,132.0,208.0,4.0,2.0,24318501.0,25989607.0,27720541.0,13304854.0,16153415.0,0,1979,72
115,115,314814831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14229.0,0.0,1,1979,26
116,116,315013359,0.0,0.0,0.0,0.0,0.0,129092.0,135566.0,103982.0,0.0,0.0,0,1979,26
117,117,315064188,0.0,0.0,0.0,0.0,0.0,0.0,667000.0,200630.0,0.0,0.0,1,1979,25
118,118,315172023,0.0,0.0,0.0,0.0,0.0,161077.0,196421.0,20951.0,0.0,0.0,1,1979,30
119,119,315292177,0.0,0.0,0.0,0.0,0.0,0.0,74047.0,0.0,0.0,0.0,1,1979,22
120,120,315560730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1979,25
121,121,315667386,0.0,0.0,0.0,0.0,0.0,359000.0,0.0,0.0,0.0,0.0,0,1979,71
122,122,315815936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1979,25
123,123,315842773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1964,29
124,124,315930578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1979,62
125,125,316014984,0.0,0.0,0.0,0.0,0.0,89000.0,64000.0,0.0,0.0,339000.0,1,1972,25
126,126,316155506,0.0,0.0,0.0,0.0,0.0,5487.0,2522.0,0.0,0.0,0.0,1,1979,71
127,127,316186600,0.0,0.0,0.0,0.0,0.0,145599.0,168112.0,121123.0,0.0,0.0,1,1979,25
128,128,316357334,0.0,0.0,0.0,0.0,0.0,0.0,13422314.0,12059217.0,12597932.0,11129176.0,0,1979,72
129,129,316359041,0.0,0.0,0.0,0.0,0.0,161393.0,264420.0,154106.0,140274.0,14000.0,1,1979,25
130,130,316534783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1979,32
131,131,316539006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1979,25
132,132,316676741,0.0,0.0,0.0,0.0,0.0,369656.0,1580000.0,0.0,1780742.0,0.0,1,1982,62
133,133,316696996,0.0,0.0,0.0,0.0,0.0,82075.0,2133.0,0.0,5100400.0,0.0,0,1979,29
134,134,316866805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265000.0,1,1979,71
135,135,316883180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1979,30
136,136,317031706,0.0,0.0,0.0,0.0,0.0,334803.0,533162.0,320507.0,494144.0,383694.0,1,1979,26
137,137,317036887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248000.0,0.0,0.0,1,1979,71
138,138,317098432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1982,71
139,139,317099679,32.0,27.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1979,72
140,140,317288389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1979,62
141,141,317805323,0.0,0.0,0.0,0.0,0.0,598552.0,657333.0,666907.0,769830.0,600918.0,1,1980,71
142,142,318111952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1980,25
143,143,318164837,0.0,0.0,0.0,0.0,0.0,4926036.0,5041718.0,3640360.0,4003229.0,3542788.0,0,1980,72
144,144,318198777,0.0,0.0,0.0,0.0,0.0,151311.0,141273.0,183158.0,288495.0,260559.0,1,1980,22
145,145,318210614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1974,25
146,146,318223658,0.0,0.0,0.0,0.0,0.0,2044.0,0.0,0.0,0.0,0.0,0,1980,71
147,147,318649217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3010.12,0.0,1,1980,32
148,148,318720653,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,2684497.0,0,1980,71
149,149,318732880,0.0,0.0,0.0,0.0,0.0,2865000.0,0.0,0.0,8500000.0,1152684.0,0,1980,62
150,150,319137576,17.0,12.0,11.0,17.0,8.0,8585647.0,8466464.0,10884384.0,10060744.0,8231789.0,0,1980,20
151,151,319159877,2.0,1.0,0.0,0.0,0.0,9092000.0,30440000.0,31291000.0,31503000.0,30465000.0,0,1980,26
